,report_date,location,data_field,value
104122,2016-02-09,Nicaragua,total_zika_confirmed_cumulative,41.0
104128,2016-02-11,Nicaragua,total_zika_confirmed_cumulative,47.0
104135,2016-02-12,Nicaragua,total_zika_confirmed_cumulative,53.0
104139,2016-02-15,Nicaragua,total_zika_confirmed_cumulative,65.0
104143,2016-02-16,Nicaragua,total_zika_confirmed_cumulative,66.0
104146,2016-02-22,Nicaragua,total_zika_confirmed_cumulative,77.0
104150,2016-02-23,Nicaragua,total_zika_confirmed_cumulative,79.0
104152,2016-02-29,Nicaragua,total_zika_confirmed_cumulative,92.0
104156,2016-03-01,Nicaragua,total_zika_confirmed_cumulative,93.0
104169,2016-03-07,Nicaragua,total_zika_confirmed_cumulative,104.0
104174,2016-03-11,Nicaragua,total_zika_confirmed_cumulative,110.0
104181,2016-03-14,Nicaragua,total_zika_confirmed_cumulative,119.0
104185,2016-03-16,Nicaragua,total_zika_confirmed_cumulative,123.0
104189,2016-03-28,Nicaragua,total_zika_confirmed_cumulative,129.0
104193,2016-04-04,Nicaragua,total_zika_confirmed_cumulative,131.0
104197,2016-04-18,Nicaragua,total_zika_confirmed_cumulative,139.0
104201,2016-04-25,Nicaragua,total_zika_confirmed_cumulative,150.0
104203,2016-05-03,Nicaragua,total_zika_confirmed_cumulative,167.0
104207,2016-05-04,Nicaragua,total_zika_confirmed_cumulative,179.0
104211,2016-05-05,Nicaragua,total_zika_confirmed_cumulative,182.0
104223,2016-05-09,Nicaragua,total_zika_confirmed_cumulative,184.0
104225,2016-05-11,Nicaragua,total_zika_confirmed_cumulative,185.0
104227,2016-05-16,Nicaragua,total_zika_confirmed_cumulative,196.0
104228,2016-05-19,Nicaragua,total_zika_confirmed_cumulative,196.0
104230,2016-05-23,Nicaragua,total_zika_confirmed_cumulative,206.0
104233,2016-05-27,Nicaragua,total_zika_confirmed_cumulative,212.0
104237,2016-06-06,Nicaragua,total_zika_confirmed_cumulative,232.0
104244,2016-06-13,Nicaragua,total_zika_confirmed_cumulative,248.0
