,State,abr,passengers
0,Alabama,AL,0.0
1,New York,NY,199364.0
2,California,CA,42395.0
3,Illinois,IL,32588.0
4,Georgia,GA,79720.0
5,Washington,WA,0.0
6,Texas,TX,115930.0
7,Alaska,AK,0.0
8,Florida,FL,622184.0
9,Ohio,OH,0.0
10,Indiana,IN,0.0
11,Massachusetts,MA,1232.0
12,Puerto Rico,PR,0.0
13,Kentucky,KY,0.0
14,Michigan,MI,13595.0
15,New Jersey,NJ,35892.0
16,Missouri,MO,0.0
17,Nevada,NV,0.0
18,Tennessee,TN,0.0
19,North Carolina,NC,0.0
20,Wisconsin,WI,0.0
21,Pennsylvania,PA,0.0
22,Oklahoma,OK,0.0
23,Nebraska,NE,0.0
24,Minnesota,MN,332.0
25,Montana,MT,0.0
26,Maryland,MD,0.0
27,Colorado,CO,0.0
28,West Virginia,WV,0.0
29,Rhode Island,RI,0.0
30,Arizona,AZ,0.0
31,North Dakota,ND,0.0
32,Louisiana,LA,240.0
33,Virginia,VA,26879.0
34,Kansas,KS,0.0
35,South Carolina,SC,0.0
36,Wyoming,WY,0.0
37,Hawaii,HI,0.0
38,Mississippi,MS,0.0
39,U.S. Pacific Trust Territories and Possessions,TT,0.0
40,U.S. Virgin Islands,VI,0.0
41,Connecticut,CT,0.0
42,New Hampshire,NH,0.0
43,Utah,UT,0.0
44,Iowa,IA,0.0
45,Oregon,OR,0.0
46,Idaho,ID,0.0
47,New Mexico,NM,0.0
48,Arkansas,AR,0.0
49,South Dakota,SD,0.0
50,Vermont,VT,0.0
51,Maine,ME,0.0
52,Delaware,DE,0.0
